NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Lajeado;4311403;EMEI AMIGUINHOS DO JARDIM;43193056;3;0;1;JOAO FERNANDO SCHNEIDER;438;;JARDIM DO CEDRO;95901374;1;9;318;0;0;0;0;8;-29,4762332;-51,9913845;ROOFTOP
2024;Lajeado;4311403;EMEI CANTINHO DA ALEGRIA;43207286;3;0;1;RUA RUA BELO HORIZONTE;196;-;UNIVERSITARIO;95914710;1;7;220;0;0;0;0;8;-29,4338269;-51,966636;ROOFTOP
2024;Lajeado;4311403;EMEI CANTINHO INFANTIL;43192939;3;0;1;RUA RUA CEARA;857;;ALTO DO PARQUE;95913274;1;6;224;0;0;0;0;18;-29,4490422;-51,9551813;ROOFTOP
2024;Lajeado;4311403;EMEI CRIANCA ALEGRE;43192904;3;0;1;RUA RIO DE JANEIRO;601;;SANTO ANDRE;95912056;1;6;202;0;0;0;0;6;-29,4438408;-51,9726104;ROOFTOP
2024;Lajeado;4311403;EMEI CRIANCA ESPERANCA;43192890;3;0;1;RUA SAO JOAO BOSCO;269;;CONSERVAS;95901560;1;7;292;0;0;0;0;0;-29,477657;-51,9772969;ROOFTOP
2024;Lajeado;4311403;EMEI CRIANCA FELIZ;43192971;3;0;1;RUA PAUL HARRIS;315;;CAMPESTRE;95912116;1;5;270;0;0;0;0;4;-29,4387102;-51,9732298;ROOFTOP
2024;Lajeado;4311403;EMEI DOCE INFANCIA;43192980;3;0;1;RUA RUA BENNO SCHMITT;351;;CONVENTOS;95906332;1;9;432;0;0;0;0;16;-29,4326515;-52,0229058;RANGE_INTERPOLATED
2024;Lajeado;4311403;EMEI ENTRE AMIGUINHOS;43193005;3;0;1;RUA FABIO BRITO DE AZAMBUJA;265;;SAO CRISTOVAO;95913068;1;8;330;0;0;0;0;6;-29,4441177;-51,9648771;ROOFTOP
2024;Lajeado;4311403;EMEI ESPACO CRIANCA;43205178;3;0;1;RUA RUA GENERAL FLORES DA CUNHA;236;;FLORESTAL;95900626;1;9;308;0;0;0;0;20;-29,4537665;-51,9708786;ROOFTOP
2024;Lajeado;4311403;EMEI FAZENDO ARTE;43192955;3;0;1;RUA MARIO CATTOI;84;;CENTRO;95900060;1;6;180;0;0;0;0;0;-29,460069;-51,9698442;ROOFTOP
